NAME,WEAR,STICKER_0,STICKER_1,STICKER_2,STICKER_3,ID,LINK
StatTrak™ AWP | Hyper Beast,Minimal Wear,TSM Kinguin (Foil) | Katowice 2015,,,,730_2_27534714624,https://steamcommunity.com/profiles/76561199196627861/inventory/#730_2_27534714624
AK-47 | Frontside Misty,Minimal Wear,Battle Scarred (Holo),Tamara (Holo),Runtime (Holo),Kimberly (Holo),730_2_27533368680,https://steamcommunity.com/profiles/76561199196627861/inventory/#730_2_27533368680
StatTrak™ Glock-18 | Ironwork,Field-Tested,SK Gaming (Holo) | Krakow 2017,,,,730_2_27538956268,https://steamcommunity.com/profiles/76561199197216615/inventory/#730_2_27538956268
AWP | Asiimov,Field-Tested,Headshot Guarantee,denis | Boston 2018,Team Liquid (Foil) | Cologne 2016,The Awper,730_2_27478332570,https://steamcommunity.com/profiles/76561199197216615/inventory/#730_2_27478332570
StatTrak™ Desert Eagle | Crimson Web,Field-Tested,Bad News Eagles | Antwerp 2022,iBUYPOWER (Holo) | Cologne 2014,Bad News Eagles (Holo) | Antwerp 2022,New Sheriff (Foil),730_2_27551854298,https://steamcommunity.com/profiles/76561199199126678/inventory/#730_2_27551854298
AK-47 | Redline,Field-Tested,Virtus.Pro (Holo) | DreamHack 2014,,,,730_2_27551854287,https://steamcommunity.com/profiles/76561199199126678/inventory/#730_2_27551854287
USP-S | Whiteout,Minimal Wear,Runtime (Holo),Runtime (Holo),Runtime (Holo),Runtime (Holo),730_2_27551854276,https://steamcommunity.com/profiles/76561199199126678/inventory/#730_2_27551854276
Desert Eagle | Crimson Web,Minimal Wear,Astralis | Atlanta 2017,Astralis (Holo) | Cologne 2016,Astralis (Holo) | Cologne 2016,Astralis (Holo) | Cologne 2016,730_2_27533530706,https://steamcommunity.com/profiles/76561199199126678/inventory/#730_2_27533530706
Desert Eagle | Cobalt Disruption,Factory New,Team Liquid | Atlanta 2017,Team Liquid (Holo) | Cologne 2016,Team Liquid (Holo) | Cologne 2016,Team Liquid (Holo) | Cologne 2016,730_2_27533530704,https://steamcommunity.com/profiles/76561199199126678/inventory/#730_2_27533530704
Five-SeveN | Case Hardened,Field-Tested,Team Liquid (Holo) | Atlanta 2017,,,,730_2_27533530701,https://steamcommunity.com/profiles/76561199199126678/inventory/#730_2_27533530701
