NAME,WEAR,STICKER_0,STICKER_1,STICKER_2,STICKER_3,ID,LINK
StatTrak™ Desert Eagle | Oxide Blaze,Field-Tested,AdreN | Katowice 2019,Shave Master,Counter Logic Gaming | Katowice 2015,Flipsid3 Tactics | Katowice 2015,730_2_27046916361,https://steamcommunity.com/profiles/76561199197216615/inventory/#730_2_27046916361
M4A1-S | Guardian,Field-Tested,Golden | Katowice 2019,Team Liquid | Katowice 2019,flusha | Katowice 2019,IEM | Katowice 2019,730_2_27036826693,https://steamcommunity.com/profiles/76561199199444253/inventory/#730_2_27036826693
USP-S | Orion,Minimal Wear,Virtus.pro | Katowice 2015,,,,730_2_27044324248,https://steamcommunity.com/profiles/76561199199817726/inventory/#730_2_27044324248
StatTrak™ USP-S | Guardian,Field-Tested,TSM Kinguin | Katowice 2015,GODSENT (Holo) | Stockholm 2021,Team Liquid (Holo) | Stockholm 2021,Renegades (Holo) | Stockholm 2021,730_2_27036031556,https://steamcommunity.com/profiles/76561199199817726/inventory/#730_2_27036031556
M4A1-S | Golden Coil,Battle-Scarred,G2 Esports | Cologne 2016,,,,730_2_27050897101,https://steamcommunity.com/profiles/76561199197560002/inventory/#730_2_27050897101
M4A1-S | Guardian,Factory New,DreamHack Winter 2014,Space Soldiers (Holo) | Boston 2018,FNS (Foil) | Cologne 2015,GODSENT (Foil) | 2020 RMR,730_2_27046138049,https://steamcommunity.com/profiles/76561199197560002/inventory/#730_2_27046138049
AK-47 | Redline,Field-Tested,G2 Esports | Cologne 2016,G2 Esports | Cologne 2016,G2 Esports | Cologne 2016,G2 Esports | Cologne 2016,730_2_27046138037,https://steamcommunity.com/profiles/76561199197560002/inventory/#730_2_27046138037
AK-47 | Red Laminate,Battle-Scarred,Team LDLC.com | Cologne 2014,dAT team | Cologne 2014,iBUYPOWER | Cologne 2014,Natus Vincere | Cluj-Napoca 2015,730_2_27036289316,https://steamcommunity.com/profiles/76561199197560002/inventory/#730_2_27036289316
AWP | Phobos,Field-Tested,OpTic Gaming | Cologne 2016,OpTic Gaming | Cologne 2016,stanislaw | Cologne 2016,OpTic Gaming | Cologne 2016,730_2_27046453383,https://steamcommunity.com/profiles/76561199199015681/inventory/#730_2_27046453383
StatTrak™ AK-47 | Uncharted,Minimal Wear,nex (Foil) | Krakow 2017,XANTARES (Foil) | Katowice 2019,BIG (Holo) | London 2018,XANTARES (Foil) | London 2018,730_2_27044072340,https://steamcommunity.com/profiles/76561199198377367/inventory/#730_2_27044072340
